,Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
27447,159107,III - Central Luzon,93327,Wage/Salaries,0,38234,32700,7148,11288,490,3458,23900,3618,9955,2385,25308,12000,185,1428,390,2450,5670,0,0,0,Male,34,Married,Second Year High School,With Job/Business,Masons and related concrete finishers,Worked for private establishment,Single Family,7,0,5,2,Single house,Mixed but predominantly strong materials,Quite Strong,26,35,0,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,1,0,0,0,0
33553,284099, ARMM,124344,Enterpreneurial Activities,0,41669,30475,1916,39285,4025,18079,0,0,1456,2800,25248,18000,1019,5520,2940,33225,10530,0,75089,259449,Male,44,Married,Grade 4,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Extended Family,11,0,7,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,23,2,Own or owner-like possession of house and lot,Closed pit,0,"Lake, river, rain and others",0,0,0,0,0,0,0,4,0,0,0,0,0
4780,54190,X - Northern Mindanao,35625,Wage/Salaries,1,22711,0,330,4044,90,2440,2100,0,0,2060,8532,2400,254,900,0,790,2058,0,0,0,Male,47,Married,High School Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,6,1,3,1,Single house,Mixed but predominantly strong materials,Light,25,13,1,Own or owner-like possession of house and lot,Open pit,0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0
31962,187854,XII - SOCCSKSARGEN,70426,Wage/Salaries,0,23077,17160,2034,11870,2980,6565,10500,0,1086,8444,18456,6000,1534,12000,840,1000,15180,3000,0,44010,Male,29,Married,High School Graduate,With Job/Business,Hand packers and other manufacturing laborers,Worked for private establishment,Single Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,17,12,0,Own or owner-like possession of house and lot,"Water-sealed, other depository, shared with other household",1,"Shared, faucet, community water system",0,1,0,1,1,0,0,0,2,1,0,0,0
40602,125240,XII - SOCCSKSARGEN,75146,Enterpreneurial Activities,1,32505,23400,2720,13462,2675,5980,5265,650,0,4340,7590,6000,315,9180,288,2910,6150,3800,34677,82679,Male,51,Married,No Grade Completed,With Job/Business,Corn farmers,Self-employed wihout any employee,Single Family,6,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,9,7,2,Own or owner-like possession of house and lot,"Water-sealed, other depository, used exclusively by household",0,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0
16123,120155,CAR,120388,Other sources of Income,1,42456,39940,8400,8556,1000,9060,41630,270,0,1800,27690,18000,675,5100,0,7310,4392,0,42170,42170,Male,51,Married,Second Year College,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,8,1,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,29,13,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,0,0,0,0,0
656,96612,Caraga,38770,Wage/Salaries,0,13134,12428,7150,3062,480,1516,7800,1710,5980,835,11616,4800,1020,12120,300,0,3252,18000,0,0,Male,65,Married,Elementary Graduate,With Job/Business,"Tailors, dressmakers and hatters",Worked for private establishment,Single Family,2,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,18,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,0,0,0,0,0
30465,196799,IVA - CALABARZON,86714,Enterpreneurial Activities,0,26683,16960,11466,14850,2001,2653,13970,0,0,6155,21210,12000,3632,9624,264,3460,8790,0,0,98214,Male,40,Married,High School Graduate,With Job/Business,Masons and related concrete finishers,Worked for private establishment,Single Family,5,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,17,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,0,0,0,0,0,1,0,0,0,0
37683,313194,NCR,131625,Wage/Salaries,2,29596,18564,25957,14754,2915,8407,24740,1392,130,1460,69948,51000,5832,16902,6174,3900,7728,24100,0,0,Male,55,Married,High School Graduate,With Job/Business,Hand launderers and pressers,Worked for private household,Extended Family,7,1,3,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,55,2,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,3,0,1,0,0
14735,472960,VI - Western Visayas,125427,Wage/Salaries,0,28545,17919,24886,28813,5025,7342,13000,1674,10745,9670,75486,39000,23656,37728,13200,10660,21564,15000,0,0,Male,47,Married,Third Year College,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Single Family,5,0,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,85,20,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,4,1,0,0,1
1231,41479,Caraga,20016,Other sources of Income,0,7317,3015,1900,5910,348,2000,720,3842,1212,670,16518,9000,10,732,0,0,648,2180,9370,9370,Male,64,Married,Grade 1,With Job/Business,Corn farmers,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,45,5,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,1,0,0,0,0,0,0,0,0,0,0,0
23777,96430,VI - Western Visayas,52064,Other sources of Income,0,17650,14294,5305,10429,1491,6120,900,0,0,1649,28356,21000,1524,2676,1464,110,4020,2500,16250,16250,Male,58,Married,Grade 5,With Job/Business,Rice farmers,Self-employed wihout any employee,Extended Family,3,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,39,24,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,1,0,0,0,0,0,2,0,0,0,0
11664,602900,XI - Davao Region,191541,Enterpreneurial Activities,0,43473,31100,16020,25094,3493,7544,76650,0,0,13380,109500,0,0,20322,27408,82000,14688,15000,0,602900,Male,42,Married,High School Graduate,With Job/Business,Pawnbrokers and money lenders,Self-employed wihout any employee,Extended Family,6,1,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,25,3,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,1,2,0,1,6,4,1,0,2
41505,261421,XII - SOCCSKSARGEN,61361,Wage/Salaries,2,19560,14078,5834,5674,1205,1665,5900,0,724,25520,58410,27000,950,18468,1134,17027,25974,0,0,36000,Male,39,Married,Transport Services Programs,No Job/Business,,,Single Family,6,1,3,1,Single house,Mixed but predominantly strong materials,Quite Strong,30,26,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,0,1,1,0,0
38975,261020,NCR,77551,Other sources of Income,2,21298,10470,8808,6278,4468,6323,13570,0,0,4750,48954,0,6860,18798,6204,27140,13788,1606,0,0,Female,37,Married,High School Graduate,No Job/Business,,,Single Family,5,0,3,0,Multi-unit residential,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,18,9,0,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,1,0,1,0,0
4990,699530,X - Northern Mindanao,97619,Wage/Salaries,0,19664,10200,14020,12184,3222,7880,40900,600,3250,18752,72222,63000,20342,34284,20856,82250,36462,22000,133100,152830,Male,48,Married,Third Year College,With Job/Business,Corn farmers,Self-employed wihout any employee,Single Family,3,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,13,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,2,0,1,1,0,0,0,3,1,1,0,1
10464,126168,VII - Central Visayas,91643,Wage/Salaries,0,25215,21450,8297,10307,15390,2458,12360,5060,0,3575,19530,7800,1010,21996,990,1346,6630,2200,0,0,Male,38,Married,Engineering and Engineering Trades Programs,With Job/Business,Building and related electricians,Worked for private establishment,Single Family,4,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,14,0,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,1,0,1,0,0,0,0,1,0,0,0,0
23463,112558,VI - Western Visayas,68755,Wage/Salaries,1,26576,21990,2522,12772,1795,3537,10400,6544,4706,2090,19170,12000,1872,624,876,0,3696,1300,0,0,Female,68,Widowed,Elementary Graduate,No Job/Business,,,Single Family,4,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,25,5,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,2,0,0,0,0
